PseudoCAP ID,dfleQdntrC,PFLU1131-del15,dfleQntrB-T97P,Product,Grouping
PFLU_4734,0.161427854,2.071837523,3.9,flagella basal body P-ring formation protein FlgA,F
PFLU_4731,0.309652194,4.224172706,3.6,flagellar basal body rod protein FlgB,F
PFLU_4730,-0.094175771,3.514951702,4.4,flagellar basal body rod protein FlgC,F
PFLU_4729,0.061478131,3.452565508,4.4,flagellar hook assembly protein FlgD,F
PFLU_4728,-0.05608699,3.267262877,4.4,flagellar hook protein FlgE,F
PFLU_4442,0.094491266,1.525563044,0.8,PAS domain-containing sensor histidine kinase,F
PFLU_4441,0.838912473,1.551897757,0.1,sigma-54-dependent Fis family transcriptional regulator,F
PFLU_4440,0.737447871,2.984859067,1.9,flagellar hook-basal body complex protein FliE,F
PFLU_4439,0.664032664,2.731069229,1.7,flagellar basal body M-ring protein FliF,F
PFLU_4438,0.488356288,2.787620605,1.6,flagellar motor switch protein FliG,F
PFLU_4437,0.411682448,2.747221076,1.7,flagellar assembly protein FliH,F
PFLU_4436,0.513838877,2.626747958,1.7,flagellar protein export ATPase FliI,F
PFLU_4435,0.685102941,2.248267074,1.5,flagella biosynthesis chaperone FliJ,F
PFLU_4430,-0.038986355,1.058463335,2,flagellar hook-length control protein FliK,F
PFLU_4429,0.112058839,3.132091929,3.7,flagellar basal body-associated protein FliL,F
PFLU_4428,0.072844017,2.362089689,3,flagellar motor switch protein FliM,F
PFLU_4427,-0.183441412,2.462262291,3.1,flagellar motor switch protein FliN,F
PFLU_4426,0.067604534,2.468028991,2.6,flagellar biosynthetic protein FliO,F
PFLU_4425,-0.091803587,1.733463445,2.2,flagellar biosynthetic protein FliP,F
PFLU_4424,-0.048100454,1.703077891,2.8,flagellar biosynthetic protein FliQ,F
PFLU_4423,-0.077211582,2.139420845,1.9,flagellar type III secretion system protein FliR,F
PFLU_4422,0.077039671,1.880967632,1.8,flagellar biosynthesis protein FlhB,F
PFLU_0882,-0.034176764,0.011923516,0.5,RNA polymerase factor sigma-54,N
PFLU_3423,0.031107055,0.283337444,0.4,ABC transporter permease,N
PFLU_3422,0.027925143,0.106808998,0.7,branched-chain amino acid ABC transporter permease,N
PFLU_3421,-0.378502865,0.057041138,0.5,branched-chain amino acid ABC transporter permease,N
PFLU_3420,-0.350493897,0.020142614,0.4,ABC transporter ATP-binding protein,N
PFLU_2326,0.121550408,1.83644283,4.1,FMN-binding glutamate synthase family protein,N
PFLU_2325,0.167582418,1.233910639,4,protein glxC,N
PFLU_2324,0.34167889,1.379390778,4.5,glutamine amidotransferase,N
PFLU_2323,0.788093971,2.220615809,2.6,type III glutamate--ammonia ligase,N
PFLU_5953,0.106532674,0.178775336,3,P-II family nitrogen regulator,N
PFLU_5952,0.092163274,0.712924181,6.4,ammonium transporter,N
PFLU_5906,-0.003495299,1.815482846,5.9,amino acid ABC transporter ATP-binding protein,N
PFLU_5905,0.155435828,1.541681297,5.7,amino acid ABC transporter permease,N
PFLU_5904,0.420861124,3.303614657,7.5,amino acid ABC transporter permease,N
PFLU_5903,-0.840873579,3.254804805,8.5,amino acid ABC transporter substrate-binding protein,N
PFLU_4955,-0.580411062,-1.231933137,1.2,MFS transporter,N
PFLU_4644,0.031939948,0.948811279,3.3,Asp/Glu/hydantoin racemase,N
PFLU_4609,-0.124965042,2.860696978,2.3,NarK/NasA family nitrate transporter,N
PFLU_4607,-0.33808577,2.067887244,5.3,nitrate ABC transporter substrate-binding protein,N
PFLU_4099,0.236479532,0.135299402,1.9,ABC transporter substrate-binding protein,N
PFLU_4098,0.301847414,0.007866051,1.8,amino acid ABC transporter permease,N
PFLU_4097,0.179743404,0.052278768,0.8,amino acid ABC transporter ATP-binding protein,N
PFLU_4026,0.261589407,2.616143412,4.8,nitrogen assimilation transcriptional regulator,N
PFLU_3584,-0.456138449,-0.087211211,3.165151249,amino acid ABC transporter ATP-binding protein,N
PFLU_3583,-0.291526015,0.434079424,4.711588844,amino acid ABC transporter permease,N
PFLU_3582,-0.151017942,0.14469244,4.689266168,amino acid ABC transporter substrate-binding protein,N
PFLU_3426,0.192289061,0.468378506,3.619772642,reductase,N
PFLU_3425,0.685126676,1.601968071,3.954827561,nitrite reductase large subunit,N
PFLU_2620,0.641595329,0.473978266,3.115739764,amino acid ABC transporter ATP-binding protein,N
PFLU_2619,0.036836894,-0.203940895,4.119747594,amino acid ABC transporter permease,N
PFLU_2618,0.537668512,0.406374504,3.680774875,amino acid ABC transporter permease,N
PFLU_2617,0.222778833,0.01836893,3.672934778,ABC transporter substrate-binding protein,N
PFLU_2337,0.039711626,2.782459117,5.217128793,histidine kinase,N
PFLU_2056,0.094154887,1.698940318,2.099686177,monooxygenase,N
PFLU_1991,0.035538678,-0.411576847,0.287604443,polysaccharide deacetylase,N
PFLU_1747,-0.044091396,2.665758736,1.644916331,ammonium transporter,N
PFLU_1138,-0.444235213,-0.363367776,-1.1,amino acid ABC transporter permease,N
PFLU_1137,-0.453938764,-0.371095558,-1.3,ABC transporter permease subunit,N
PFLU_1136,-0.457280655,-0.324695287,-1.3,amino acid ABC transporter ATP-binding protein,N
PFLU_1003,-0.307391443,-0.082129285,6.635124743,amino acid ABC transporter ATP-binding protein,N
PFLU_1002,-0.322298792,-0.193513668,7.299146279,amino acid ABC transporter permease,N
PFLU_1001,-0.292265136,-0.048917203,8.223746309,amino acid ABC transporter permease,N
PFLU_1000,-0.384519542,-0.313928656,8.902329466,amino acid ABC transporter substrate-binding protein,N
PFLU_0588,0.249706773,3.418686991,8.741978648,urea ABC transporter substrate-binding protein,N
PFLU_0587,-0.093319822,3.433426965,7.053790482,urea ABC transporter permease subunit UrtB,N
PFLU_0586,-0.209457703,2.386559839,6.642684477,urea ABC transporter permease subunit UrtC,N
PFLU_0585,0.083084786,1.638149794,6.869463432,urea ABC transporter ATP-binding protein UrtD,N
PFLU_0584,-0.057124189,1.471057168,6.762401972,urea ABC transporter ATP-binding subunit UrtE,N
PFLU_0583,0.075689458,0.057997168,3.642204571,urease accessory protein,N
PFLU_0563,0.46923334,2.058186389,6.951842333,urease accessory protein UreE,N
PFLU_0562,0.067791365,2.455074417,4.451796579,urease accessory protein UreF,N
PFLU_0561,-0.147672246,2.303646214,5.940176008,urease accessory protein UreG,N
PFLU_0554,-0.073540537,1.368254284,6.547963664,high-affinity branched-chain amino acid ABC transporter permease LivM,N
PFLU_0553,-0.023425384,1.567685754,6.565710491,branched-chain amino acid ABC transporter permease,N
PFLU_0551,0.14233342,1.56378129,7.166451543,branched-chain amino acid ABC transporter substrate-binding protein,N
PFLU_0348,-0.103212308,0.757484148,2.556319784,type I glutamate--ammonia ligase,N
PFLU_5678,0.011294715,0.266550401,6.545134997,GlxA family transcriptional regulator,other
PFLU_5248,0.573751459,1.568683458,0.543028899,BON domain-containing protein,other
PFLU_5240,-0.10908345,-0.098077689,0.068865175,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,other
PFLU_5239,-0.108678899,-0.036508459,-0.3,polynucleotide adenylyltransferase PcnB,other
PFLU_5193,0.274351077,0.772994243,4.861659552,helix-turn-helix domain-containing protein,other
PFLU_4833,0.209857293,0.971091878,-0.4,PA2169 family four-helix-bundle protein,other
PFLU_4818,-0.022746848,2.571331669,4.101698899,hypothetical protein,other
PFLU_4742,0.424161018,0.631369914,-0.6,hypothetical protein,other
PFLU_4741,0.305344872,0.37748015,-1.1,hypothetical protein,other
