"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","strain","RHA","set_size_in_data"
"Sigma54_targets",1.02893937101603e-08,5.14469685508016e-08,0.747739663149885,-0.527068304506971,-2.04500043888781,181,"PFLU_0560;PFLU_4611;PFLU_4609;PFLU_4610;PFLU_3426;PFLU_3425;PFLU_2337;PFLU_2791;PFLU_4607;PFLU_2338;PFLU_4426;PFLU_2384;PFLU_2215;PFLU_2730;PFLU_0587;PFLU_2789;PFLU_0563;PFLU_2802;PFLU_2058;PFLU_4643;PFLU_3421;PFLU_3419;PFLU_2214;PFLU_3422;PFLU_2326;PFLU_4026;PFLU_1747;PFLU_2790;PFLU_3746;PFLU_2324;PFLU_0709;PFLU_0588;PFLU_2216;PFLU_2057;PFLU_1001;PFLU_4608;PFLU_2383;PFLU_2803;PFLU_4423;PFLU_2219;PFLU_4728;PFLU_2220;PFLU_2222;PFLU_5239;PFLU_0585;PFLU_0586;PFLU_1629;PFLU_2339;PFLU_5903;PFLU_2218;PFLU_2385;PFLU_4100;PFLU_4430;PFLU_4664;PFLU_2056;PFLU_4440;PFLU_3420;PFLU_0348;PFLU_2035;PFLU_2325;PFLU_0551;PFLU_5952;PFLU_4422;PFLU_4437;PFLU_2223;PFLU_1122;PFLU_1003;PFLU_4441;PFLU_4436;PFLU_0583;PFLU_2619;PFLU_0444",286,"NoRha",181
"Pyrimidine_Aspartate",0.17752808988764,0.443820224719101,0.156312403073186,-0.395805149275039,-1.20653207978454,40,"PFLU_0611;PFLU_5757;PFLU_0673;PFLU_0612;PFLU_6057;PFLU_6055;PFLU_5758;PFLU_5044;PFLU_6094;PFLU_2111;PFLU_5043;PFLU_1648;PFLU_5266;PFLU_5759;PFLU_1154;PFLU_1156;PFLU_2710;PFLU_5034;PFLU_0020;PFLU_5755;PFLU_5265;PFLU_4364;PFLU_1272;PFLU_5988;PFLU_4951",286,"NoRha",40
"NO_reductase",0.334745762711864,0.557909604519774,0.105520936843198,-0.540793154010233,-1.14823774142092,9,"PFLU_5143;PFLU_5142",286,"NoRha",9
"Anti_sigma_system",0.922048997772829,0.922048997772829,0.0543434390269162,-0.231720364237482,-0.675070184198738,31,"PFLU_0889",286,"NoRha",31
"Glycine_cleavage",0.901639344262295,0.922048997772829,0.0461379160269737,0.245476241541722,0.733419569557314,42,"PFLU_5330;PFLU_5406;PFLU_5721;PFLU_4896;PFLU_3966;PFLU_3967;PFLU_4898",286,"NoRha",42
"Sigma54_targets",2.63472777237997e-41,1.31736388618998e-40,1.67199671627594,0.829485926873723,2.5446927026104,181,"PFLU_5903;PFLU_4609;PFLU_2218;PFLU_4608;PFLU_2220;PFLU_4731;PFLU_4611;PFLU_2730;PFLU_4607;PFLU_3426;PFLU_2339;PFLU_2803;PFLU_3425;PFLU_2216;PFLU_0588;PFLU_4610;PFLU_1747;PFLU_2802;PFLU_2221;PFLU_2215;PFLU_2058;PFLU_4426;PFLU_4730;PFLU_0562;PFLU_4728;PFLU_4427;PFLU_2219;PFLU_2337;PFLU_2338;PFLU_2701;PFLU_0586;PFLU_4729;PFLU_4429;PFLU_5904;PFLU_0587;PFLU_4818;PFLU_5906;PFLU_2700;PFLU_2326;PFLU_0469;PFLU_5905;PFLU_3135;PFLU_4026;PFLU_4422;PFLU_2224;PFLU_2383;PFLU_2222;PFLU_2385;PFLU_2323;PFLU_4424;PFLU_2223;PFLU_2214;PFLU_4734;PFLU_1001;PFLU_4428;PFLU_2384;PFLU_2056;PFLU_1000;PFLU_4440;PFLU_4423;PFLU_4430;PFLU_3136;PFLU_2325;PFLU_4425;PFLU_4435;PFLU_2057;PFLU_1033;PFLU_1122;PFLU_0560;PFLU_3582;PFLU_0563;PFLU_4439;PFLU_2213;PFLU_4436;PFLU_1003;PFLU_3420;PFLU_4644;PFLU_5678;PFLU_0585;PFLU_2790;PFLU_3584;PFLU_1002;PFLU_0561;PFLU_2789;PFLU_4437;PFLU_0584;PFLU_0555;PFLU_0554;PFLU_2212;PFLU_0556;PFLU_4442;PFLU_4518;PFLU_0553;PFLU_4717;PFLU_2324;PFLU_3744;PFLU_3583;PFLU_4438;PFLU_5193;PFLU_0541;PFLU_1123;PFLU_0709;PFLU_2791;PFLU_1124;PFLU_2055;PFLU_3746;PFLU_5952;PFLU_3743;PFLU_4100;PFLU_0446;PFLU_2039;PFLU_4727;PFLU_0551;PFLU_0348;PFLU_3745;PFLU_2038",286,"Rha",181
"Anti_sigma_system",0.0201101756142212,0.050275439035553,0.352487857583619,0.612471143130019,1.55918343715878,31,"PFLU_4731;PFLU_4454;PFLU_4427;PFLU_4428;PFLU_4438",286,"Rha",31
"Glycine_cleavage",0.0333079867809782,0.0555133113016303,0.321775918075361,0.568232426541591,1.50575689615998,42,"PFLU_4610;PFLU_5652;PFLU_5650;PFLU_5649;PFLU_4897;PFLU_4896;PFLU_5648;PFLU_4899;PFLU_5679;PFLU_4898;PFLU_5406;PFLU_3931",286,"Rha",42
"NO_reductase",0.186413902053712,0.233017377567141,0.125033367555272,0.644879403704616,1.2954566809796,9,"PFLU_5142",286,"Rha",9
"Pyrimidine_Aspartate",0.361858190709046,0.361858190709046,0.0704500850658419,0.410925632944191,1.08277052220869,40,"PFLU_0673;PFLU_1628;PFLU_2111;PFLU_4364;PFLU_1154;PFLU_6057;PFLU_4750;PFLU_5755;PFLU_5988",286,"Rha",40
"Sigma54_targets",2.14198508814428e-30,1.07099254407214e-29,1.43181244608859,0.857611775515333,2.34331038694162,181,"PFLU_2216;PFLU_2214;PFLU_2215;PFLU_2212;PFLU_2220;PFLU_2221;PFLU_2213;PFLU_2058;PFLU_3420;PFLU_2057;PFLU_0469;PFLU_3421;PFLU_3422;PFLU_2223;PFLU_2056;PFLU_2730;PFLU_3423;PFLU_2224;PFLU_2222;PFLU_2219;PFLU_3419;PFLU_2218;PFLU_2055;PFLU_3745;PFLU_2211;PFLU_4609;PFLU_4607;PFLU_2210;PFLU_4608;PFLU_2791;PFLU_5903;PFLU_3746;PFLU_2383;PFLU_2384;PFLU_1747;PFLU_4730;PFLU_2802;PFLU_1000;PFLU_4611;PFLU_2790;PFLU_2789;PFLU_4729;PFLU_0560;PFLU_4728;PFLU_2385;PFLU_3743;PFLU_4610;PFLU_5904;PFLU_4731;PFLU_2338;PFLU_3425;PFLU_4427;PFLU_5906;PFLU_3426;PFLU_0587;PFLU_3135;PFLU_4429;PFLU_4026;PFLU_0586;PFLU_0561;PFLU_2337;PFLU_2803;PFLU_4425;PFLU_3744;PFLU_4734;PFLU_1001;PFLU_0585;PFLU_4428;PFLU_0563;PFLU_4426;PFLU_0588;PFLU_0584;PFLU_3136;PFLU_1003;PFLU_0562;PFLU_2325;PFLU_1002;PFLU_4423;PFLU_4717;PFLU_3742;PFLU_3741;PFLU_3582;PFLU_5905;PFLU_0553;PFLU_2700;PFLU_4955;PFLU_0556;PFLU_4422;PFLU_0551;PFLU_5248;PFLU_0555",2209,"NoRha",181
"NO_reductase",0.00539492680855125,0.0134873170213781,0.407017918923954,-0.834667243936301,-1.78450544270542,9,"PFLU_5143;PFLU_5897;PFLU_5141",2209,"NoRha",9
