# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha_cds" "/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha.sam
PFLU_0001	OV986001.1	0	1506	+	1507	4189
PFLU_0002	OV986001.1	1544	2648	+	1105	3669
PFLU_0003	OV986001.1	2668	3772	+	1105	1780
PFLU_0004	OV986001.1	3776	6194	+	2419	9505
PFLU_0005	OV986001.1	6298	7021	-	724	678
PFLU_0006	OV986001.1	7283	8240	+	958	173
PFLU_0007	OV986001.1	8243	10523	+	2281	231
PFLU_0008	OV986001.1	10705	11476	-	772	575
PFLU_0009	OV986001.1	11558	12095	-	538	2371
PFLU_0010	OV986001.1	12097	14152	-	2056	5277
PFLU_0011	OV986001.1	14148	15102	-	955	2448
PFLU_0012	OV986001.1	15183	15741	+	559	155
PFLU_0013	OV986001.1	15783	16671	+	889	787
PFLU_0014	OV986001.1	16805	17117	-	313	17
PFLU_0015	OV986001.1	17257	18631	-	1375	655
PFLU_0016	OV986001.1	18653	19964	-	1312	737
PFLU_0017	OV986001.1	19960	20914	-	955	430
PFLU_0018	OV986001.1	20983	21490	-	508	1645
PFLU_0019	OV986001.1	21625	22417	+	793	379
PFLU_0020	OV986001.1	22480	23575	+	1096	293
PFLU_0021	OV986001.1	23629	24187	+	559	210
PFLU_0022	OV986001.1	24334	25312	-	979	1105
PFLU_0023	OV986001.1	25471	26404	+	934	3314
PFLU_0024	OV986001.1	26403	27222	+	820	2525
PFLU_0025	OV986001.1	27273	28842	-	1570	195
PFLU_0026	OV986001.1	28939	29854	-	916	106
PFLU_0027	OV986001.1	29872	31387	-	1516	95
PFLU_0028	OV986001.1	31490	32441	+	952	105
PFLU_0029	OV986001.1	32454	32802	+	349	58
PFLU_0030	OV986001.1	32898	33858	+	961	147
PFLU_0031	OV986001.1	33859	34480	+	622	90
PFLU_0032	OV986001.1	34528	35677	+	1150	156
PFLU_0033	OV986001.1	35792	37103	+	1312	33
PFLU_0034	OV986001.1	37285	37726	-	442	24
PFLU_0035	OV986001.1	37862	38672	-	811	513
PFLU_0036	OV986001.1	38671	39898	-	1228	550
PFLU_0037	OV986001.1	40008	40905	+	898	85
PFLU_0038	OV986001.1	40916	41243	-	328	1850
PFLU_0039	OV986001.1	41397	41613	+	217	355
PFLU_0040	OV986001.1	41728	41956	+	229	1082
PFLU_0041	OV986001.1	42107	43109	-	1003	526
PFLU_0042	OV986001.1	43327	43759	+	433	627
PFLU_0043	OV986001.1	43966	44206	+	241	484
PFLU_0044	OV986001.1	44206	44629	-	424	84
PFLU_0045	OV986001.1	44772	45816	+	1045	278
PFLU_0046	OV986001.1	45901	46561	-	661	170
PFLU_0047	OV986001.1	46557	47100	-	544	414
PFLU_0048	OV986001.1	47193	49254	+	2062	4222
PFLU_0049	OV986001.1	49250	49526	+	277	112
PFLU_0050	OV986001.1	49599	50265	-	667	30
PFLU_0051	OV986001.1	50529	51282	+	754	386
PFLU_0052	OV986001.1	51284	53069	+	1786	950
PFLU_0053	OV986001.1	53075	54380	+	1306	573
PFLU_0054	OV986001.1	54461	55520	+	1060	1003
PFLU_0055	OV986001.1	55771	56479	+	709	3759
PFLU_0056	OV986001.1	56564	58112	+	1549	750
PFLU_0057	OV986001.1	58180	58828	-	649	552
PFLU_0058	OV986001.1	59196	60324	+	1129	561
