Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	RefSeq
A0AA35HX16	unreviewed	A0AA35HX16_PSEFS	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB PFLU_1553	Pseudomonas fluorescens (strain SBW25)	715	WP_012722844.1;
A0AA35HU93	unreviewed	A0AA35HU93_PSEFS	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE PFLU_0482	Pseudomonas fluorescens (strain SBW25)	474	WP_012721880.1;
A0AA35HWJ5	unreviewed	A0AA35HWJ5_PSEFS	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG PFLU_1289	Pseudomonas fluorescens (strain SBW25)	543	WP_012722609.1;
A0AA35HYS1	unreviewed	A0AA35HYS1_PSEFS	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA PFLU_3041	Pseudomonas fluorescens (strain SBW25)	663	WP_012724221.1;
A0AA35I1W9	unreviewed	A0AA35I1W9_PSEFS	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG PFLU_3796	Pseudomonas fluorescens (strain SBW25)	464	WP_012724932.1;
A0AA35I2E4	unreviewed	A0AA35I2E4_PSEFS	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP PFLU_4399	Pseudomonas fluorescens (strain SBW25)	94	WP_015885159.1;
A0AA35I3A8	unreviewed	A0AA35I3A8_PSEFS	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN PFLU_5060	Pseudomonas fluorescens (strain SBW25)	382	WP_003238464.1;
A0AA35I5B8	unreviewed	A0AA35I5B8_PSEFS	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU PFLU_6116	Pseudomonas fluorescens (strain SBW25)	455	WP_015886643.1;
A0AA35MXC0	unreviewed	A0AA35MXC0_PSEFS	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI PFLU_0349	Pseudomonas fluorescens (strain SBW25)	484	WP_012721763.1;
C3JZS3	unreviewed	C3JZS3_PSEFS	Dihydrofolate synthase/folylpolyglutamate synthase (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	PFLU_4186	Pseudomonas fluorescens (strain SBW25)	435	
C3JZT6	unreviewed	C3JZT6_PSEFS	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd PFLU_4192	Pseudomonas fluorescens (strain SBW25)	370	WP_015884973.1;
