# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_A/2630_A_cds" "/storage/projects/QUO1015788/2630_A/2630_A.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_A/2630_A.sam
PFLU_0001	OV986001.1	0	1506	+	1507	4001
PFLU_0002	OV986001.1	1544	2648	+	1105	3450
PFLU_0003	OV986001.1	2668	3772	+	1105	1772
PFLU_0004	OV986001.1	3776	6194	+	2419	8980
PFLU_0005	OV986001.1	6298	7021	-	724	592
PFLU_0006	OV986001.1	7283	8240	+	958	151
PFLU_0007	OV986001.1	8243	10523	+	2281	306
PFLU_0008	OV986001.1	10705	11476	-	772	496
PFLU_0009	OV986001.1	11558	12095	-	538	1994
PFLU_0010	OV986001.1	12097	14152	-	2056	4564
PFLU_0011	OV986001.1	14148	15102	-	955	1874
PFLU_0012	OV986001.1	15183	15741	+	559	112
PFLU_0013	OV986001.1	15783	16671	+	889	582
PFLU_0014	OV986001.1	16805	17117	-	313	10
PFLU_0015	OV986001.1	17257	18631	-	1375	661
PFLU_0016	OV986001.1	18653	19964	-	1312	825
PFLU_0017	OV986001.1	19960	20914	-	955	354
PFLU_0018	OV986001.1	20983	21490	-	508	928
PFLU_0019	OV986001.1	21625	22417	+	793	122
PFLU_0020	OV986001.1	22480	23575	+	1096	116
PFLU_0021	OV986001.1	23629	24187	+	559	172
PFLU_0022	OV986001.1	24334	25312	-	979	1016
PFLU_0023	OV986001.1	25471	26404	+	934	2569
PFLU_0024	OV986001.1	26403	27222	+	820	2359
PFLU_0025	OV986001.1	27273	28842	-	1570	216
PFLU_0026	OV986001.1	28939	29854	-	916	70
PFLU_0027	OV986001.1	29872	31387	-	1516	47
PFLU_0028	OV986001.1	31490	32441	+	952	82
PFLU_0029	OV986001.1	32454	32802	+	349	42
PFLU_0030	OV986001.1	32898	33858	+	961	96
PFLU_0031	OV986001.1	33859	34480	+	622	67
PFLU_0032	OV986001.1	34528	35677	+	1150	93
PFLU_0033	OV986001.1	35792	37103	+	1312	24
PFLU_0034	OV986001.1	37285	37726	-	442	2
PFLU_0035	OV986001.1	37862	38672	-	811	507
PFLU_0036	OV986001.1	38671	39898	-	1228	472
PFLU_0037	OV986001.1	40008	40905	+	898	38
PFLU_0038	OV986001.1	40916	41243	-	328	1291
PFLU_0039	OV986001.1	41397	41613	+	217	329
PFLU_0040	OV986001.1	41728	41956	+	229	789
PFLU_0041	OV986001.1	42107	43109	-	1003	276
PFLU_0042	OV986001.1	43327	43759	+	433	425
PFLU_0043	OV986001.1	43966	44206	+	241	386
PFLU_0044	OV986001.1	44206	44629	-	424	69
PFLU_0045	OV986001.1	44772	45816	+	1045	211
PFLU_0046	OV986001.1	45901	46561	-	661	210
PFLU_0047	OV986001.1	46557	47100	-	544	364
PFLU_0048	OV986001.1	47193	49254	+	2062	3120
PFLU_0049	OV986001.1	49250	49526	+	277	135
PFLU_0050	OV986001.1	49599	50265	-	667	14
PFLU_0051	OV986001.1	50529	51282	+	754	256
PFLU_0052	OV986001.1	51284	53069	+	1786	751
PFLU_0053	OV986001.1	53075	54380	+	1306	327
PFLU_0054	OV986001.1	54461	55520	+	1060	88
PFLU_0055	OV986001.1	55771	56479	+	709	2290
PFLU_0056	OV986001.1	56564	58112	+	1549	323
PFLU_0057	OV986001.1	58180	58828	-	649	445
PFLU_0058	OV986001.1	59196	60324	+	1129	505
PFLU_0059	OV986001.1	60382	61969	+	1588	195
PFLU_0060	OV986001.1	62107	62668	+	562	76
PFLU_0061	OV986001.1	62703	63591	+	889	58
PFLU_0062	OV986001.1	63597	63801	-	205	34
PFLU_0063	OV986001.1	63829	64594	+	766	14
PFLU_0064	OV986001.1	64559	65144	+	586	8
PFLU_0065	OV986001.1	65154	66234	+	1081	30
PFLU_0066	OV986001.1	66221	67121	+	901	51
PFLU_0067	OV986001.1	67117	67753	+	637	404
PFLU_0068	OV986001.1	67896	68667	-	772	2220
PFLU_0069	OV986001.1	68717	69392	-	676	454
PFLU_0070	OV986001.1	69391	70399	-	1009	423
PFLU_0071	OV986001.1	70664	72806	+	2143	1644
PFLU_0072	OV986001.1	72871	73591	-	721	554
PFLU_0073	OV986001.1	73628	74417	-	790	108
PFLU_0074	OV986001.1	74409	75195	-	787	418
PFLU_0075	OV986001.1	75194	75677	-	484	79
PFLU_0076	OV986001.1	75735	76665	+	931	282
