# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_6/2630_6_cds" "/storage/projects/QUO1015788/2630_6/2630_6.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_6/2630_6.sam
PFLU_0001	OV986001.1	0	1506	+	1507	4462
PFLU_0002	OV986001.1	1544	2648	+	1105	4377
PFLU_0003	OV986001.1	2668	3772	+	1105	1988
PFLU_0004	OV986001.1	3776	6194	+	2419	10770
PFLU_0005	OV986001.1	6298	7021	-	724	621
PFLU_0006	OV986001.1	7283	8240	+	958	157
PFLU_0007	OV986001.1	8243	10523	+	2281	427
PFLU_0008	OV986001.1	10705	11476	-	772	466
PFLU_0009	OV986001.1	11558	12095	-	538	2047
PFLU_0010	OV986001.1	12097	14152	-	2056	6047
PFLU_0011	OV986001.1	14148	15102	-	955	1907
PFLU_0012	OV986001.1	15183	15741	+	559	129
PFLU_0013	OV986001.1	15783	16671	+	889	698
PFLU_0014	OV986001.1	16805	17117	-	313	9
PFLU_0015	OV986001.1	17257	18631	-	1375	783
PFLU_0016	OV986001.1	18653	19964	-	1312	937
PFLU_0017	OV986001.1	19960	20914	-	955	413
PFLU_0018	OV986001.1	20983	21490	-	508	894
PFLU_0019	OV986001.1	21625	22417	+	793	142
PFLU_0020	OV986001.1	22480	23575	+	1096	147
PFLU_0021	OV986001.1	23629	24187	+	559	177
PFLU_0022	OV986001.1	24334	25312	-	979	1332
PFLU_0023	OV986001.1	25471	26404	+	934	2646
PFLU_0024	OV986001.1	26403	27222	+	820	2424
PFLU_0025	OV986001.1	27273	28842	-	1570	187
PFLU_0026	OV986001.1	28939	29854	-	916	77
PFLU_0027	OV986001.1	29872	31387	-	1516	40
PFLU_0028	OV986001.1	31490	32441	+	952	87
PFLU_0029	OV986001.1	32454	32802	+	349	54
PFLU_0030	OV986001.1	32898	33858	+	961	96
PFLU_0031	OV986001.1	33859	34480	+	622	68
PFLU_0032	OV986001.1	34528	35677	+	1150	130
PFLU_0033	OV986001.1	35792	37103	+	1312	30
PFLU_0034	OV986001.1	37285	37726	-	442	16
PFLU_0035	OV986001.1	37862	38672	-	811	672
PFLU_0036	OV986001.1	38671	39898	-	1228	536
PFLU_0037	OV986001.1	40008	40905	+	898	62
PFLU_0038	OV986001.1	40916	41243	-	328	921
PFLU_0039	OV986001.1	41397	41613	+	217	287
PFLU_0040	OV986001.1	41728	41956	+	229	653
PFLU_0041	OV986001.1	42107	43109	-	1003	371
PFLU_0042	OV986001.1	43327	43759	+	433	342
PFLU_0043	OV986001.1	43966	44206	+	241	281
PFLU_0044	OV986001.1	44206	44629	-	424	80
PFLU_0045	OV986001.1	44772	45816	+	1045	261
PFLU_0046	OV986001.1	45901	46561	-	661	272
PFLU_0047	OV986001.1	46557	47100	-	544	389
PFLU_0048	OV986001.1	47193	49254	+	2062	4057
PFLU_0049	OV986001.1	49250	49526	+	277	112
